param,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
lambda_,moistureInd,0.00010919372217016102,1.0001091996840217,1.794217777039237e-05,7.40276999359768e-05,0.00014435974440434523,1.0000740304400537,1.0001443701647736,0.0,6.085867812008258,1.1586200755782326e-09,29.684945285860938
lambda_,pressureInd,-1.740846421336422e-05,0.9999825916873131,8.345857910998553e-06,-3.376604513901007e-05,-1.0508832877183665e-06,0.9999662345249275,0.9999989491172645,0.0,-2.0858807325754434,0.03698942800024861,4.756743198790655
lambda_,provider_Provider2,0.14871380514056612,1.160340858095466,0.00046202538344395136,0.14780825202907266,0.14961935825205958,1.1592905834325402,1.1613920842686372,0.0,321.87366856783683,0.0,inf
lambda_,provider_Provider3,-0.20323521740439418,0.8160862611558338,0.00043685113627916323,-0.20409142989810675,-0.20237900491068161,0.81538781695408,0.8167853036303272,0.0,-465.22762681912707,0.0,inf
lambda_,provider_Provider4,0.09746281014910699,1.1023704438085464,0.0004886069146952086,0.09650515819370714,0.09842046210450683,1.1013152619265965,1.1034266366714958,0.0,199.47079588487603,0.0,inf
lambda_,team_TeamB,-0.0008459966537823367,0.9991543611004934,0.00040656018301277446,-0.0016428399700353876,-4.9153337529285576e-05,0.9983585087528686,0.9999508478704763,0.0,-2.0808645045197522,0.03744630991380844,4.739032632141342
lambda_,team_TeamC,-0.08054709219478243,0.9226114547623783,0.00042143562636816665,-0.08137309084426611,-0.07972109354529874,0.9218496935969042,0.9233738454014826,0.0,-191.12549380060335,0.0,inf
lambda_,temperatureInd,-0.00017211156189371755,0.9998279032484515,7.837618329285007e-06,-0.00018747301154368716,-0.00015675011224374795,0.9998125445604233,0.9998432621724134,0.0,-21.959676353545856,6.999578092477409e-107,352.6390381883523
lambda_,Intercept,4.389533927802475,80.6028434803216,0.0022334256060780088,4.385156494052413,4.393911361552537,80.25078100019392,80.95645046865678,0.0,1965.3817507316417,0.0,inf
rho_,Intercept,5.724547306185887,306.29457619395583,0.03775030909503865,5.650558059954356,5.798536552417417,284.4501617831737,329.8165373424815,0.0,151.64239560990077,0.0,inf
