Asset_Number,start,stop,event,Category,usage,temperature,load,health_bar
100080,0,12,0,Security,52.14231188622032,41.017509783244044,71.18668865844819,100.0
100080,12,19,0,Security,62.592000990911494,41.93094870826393,53.17352723315513,100.0
100080,19,22,0,Security,58.65272292325701,36.683115222680016,73.45074003491274,95.71569596782501
100080,22,25,0,Security,65.99354659114233,43.59999876417429,71.12374380592111,98.84377165966633
100080,25,33,0,Security,60.540031765646624,38.187011682966336,98.05188504338601,97.68965809563907
100080,33,37,0,Security,60.452381480400334,44.23161542402014,72.41205121156968,91.70786110003431
100080,37,41,0,Security,33.98993185963172,41.65054067139459,60.946051462326885,96.76800288052767
100080,41,56,1,Security,47.10665030039601,48.93458161522802,60.70947413578074,88.96954046161447
100080,56,67,0,Security,67.70244257471185,45.41577464825802,63.403802846506736,90.54968598859412
100080,67,73,0,Security,68.0680209452531,49.757815648315905,58.089188160014885,88.94400719318054
100080,73,75,0,Security,72.80798640737576,45.34969912133385,54.91754497468053,79.58230656314485
100080,75,78,0,Security,51.66310284679741,47.53431441604459,89.06933203739847,94.86220657526009
100080,78,85,0,Security,89.68788950337344,41.80293752074091,79.24127444811214,94.31902077756995
100080,85,87,0,Security,67.15365346775602,39.61236212826382,73.0990261005576,93.45931832775793
100080,87,96,0,Security,43.15672723229574,34.91792004078886,73.01860670996666,81.75495816563567
100080,96,108,0,Security,55.16469766626931,39.90723326222047,68.71781429133347,81.97201884896224
100080,108,117,0,Security,54.215780755715,36.28904689554159,67.44519522520356,81.28666974173228
100080,117,121,0,Security,64.72792443424794,40.42823233300024,60.94920748341575,83.45193101745772
100080,121,123,0,Security,69.75085547290128,41.90545060725018,65.1010515952314,74.93463348883263
100080,123,124,0,Security,68.37848646774114,34.35956801257678,47.05664016678905,81.78248651516067
100080,124,126,0,Security,69.73979406527748,51.37046322644561,57.01374081177909,79.26460416947691
100080,126,134,0,Security,57.41129675393487,45.766257760641395,71.7793604606008,84.97309102154314
100080,134,140,0,Security,60.89500098243866,44.761394423485584,73.69151561158031,71.19027744144924
100080,140,150,0,Security,59.975296669678855,47.55359456342304,61.85066748174399,80.76675430042617
100080,150,151,0,Security,69.78507432199478,41.63178610023371,74.5189783746263,78.27084441036554
100080,151,153,0,Security,55.90231630083707,43.55795812085311,60.49624017857497,78.418577658572
100080,153,162,0,Security,48.99941265088276,41.856020131305144,55.621335581316515,73.3516586291814
100080,162,165,0,Security,63.9370585207449,44.7043939665888,59.15407596791263,64.07538052565477
100080,165,171,0,Security,70.60585081320042,42.31549644033694,79.44020906844693,72.32492445807209
100080,171,178,0,Security,79.68899413109698,34.19159937857884,54.52594703765009,69.1633700265434
100080,178,179,0,Security,51.94493499096674,35.36336655307091,57.604240117592404,75.27406353085692
100080,179,180,0,Security,54.89698693777925,40.87822827416879,76.48853676526457,69.45107721392375
100080,180,182,0,Security,90.52146601925662,41.53240375109486,70.68897741178424,68.61256528318145
100080,182,190,0,Security,45.74255446292424,33.203902578278374,81.2150114897368,64.46864158244638
100080,190,212,0,Security,59.47072493252149,38.80070885233346,68.25168032784626,65.60664431568767
100080,212,222,0,Security,49.3470777906496,43.00239939430685,92.21997152894693,65.8031763870315
100080,222,228,0,Security,47.99605729289078,33.29501434059521,84.36080599421993,67.86304236420031
100080,228,231,0,Security,72.11134056499671,47.064089306176975,57.376146761052425,62.1270988146136
100080,231,232,0,Security,53.01588124219573,41.29561934235623,59.4062787443974,65.96111782612604
100080,232,239,0,Security,83.99936616428835,46.41776466945431,72.81908383563142,55.87367520773931
100080,239,244,0,Security,66.14079662397222,34.68437817915168,68.82757979350978,63.053268352920824
100080,244,250,0,Security,58.922069095550626,33.04880844240452,55.809187058182744,59.699493884532764
100080,250,258,0,Security,55.52441724819152,46.680448115680235,65.48043814791654,55.90864741648189
100080,258,259,1,Security,46.31564409207494,36.647214226187124,74.25449686116268,51.179864521730806
100080,259,260,0,Security,68.85990338304522,49.582411388885234,63.25988210058472,58.34661857880039
100080,260,262,0,Security,51.68610044589352,42.46145473724036,53.67373588690239,61.94065646634538
100080,262,263,0,Security,63.33603972358183,44.566248961975106,62.308814628755975,53.33840889557133
100080,263,271,0,Security,55.87487065350464,40.70177034460398,74.89028741038496,56.83303921851216
100080,271,272,0,Security,70.19700914311262,36.954967919242115,73.59528960578764,49.587386856301855
100080,272,277,0,Security,53.753687470709565,41.32435270663258,57.202880680361574,60.10236402433364
100080,277,285,0,Security,49.50631742016965,43.93930897562109,75.06226755274524,49.92329914699036
100080,285,295,0,Security,46.8111427028458,33.814648991686894,79.51167241775934,42.7090208200935
100080,295,312,1,Security,81.39585564017855,50.91007149458139,70.94401825298544,52.61291632499791
100080,312,319,0,Security,53.4885595920765,33.5299519086433,85.16530941963299,48.32610012346901
100080,319,322,0,Security,61.28889908565415,38.59420654920276,72.69667675949927,40.057209723879005
100080,322,329,0,Security,66.65707180813685,45.22820548924886,90.11181971401015,40.02501029171181
100080,329,331,1,Security,62.96947680061153,39.90015646445998,79.68112726527872,37.453567841037824
100080,331,338,0,Security,61.465005635421406,37.38339494032294,63.09158613311719,44.6492975340981
100080,338,339,0,Security,80.00068583688468,53.57129980483405,63.02802726616116,30.900904543277676
100080,339,349,0,Security,66.97719539540164,50.57230317976064,69.5915908741574,39.80890526338516
100080,349,350,0,Security,54.1080288092318,45.49442889225313,81.13226186742892,40.232145151152075
100080,350,352,0,Security,65.17095579680233,44.68624476869102,58.427342270282004,42.54322455602583
100080,352,355,0,Security,71.20827812431179,40.56858180208853,87.25612837067276,35.727260627168064
100080,355,356,0,Security,43.20694050723806,46.962882655009594,73.785777595339,30.375650176740383
100080,356,357,0,Security,61.407814520009005,40.665082404644714,82.02786557292377,31.213907148471996
100080,357,358,0,Security,70.9768904677378,48.26090564151863,67.66708233739844,41.84953077606812
100080,358,365,0,Security,70.10584080507758,43.74342138595904,75.86538186964978,32.929167685372484
100080,365,366,0,Security,53.59376626066903,50.30533584532702,68.59745734580925,29.748750463390756
100080,366,371,0,Security,55.775035541028515,38.38575658103979,65.84053297741684,22.90345131318828
100080,371,374,0,Security,47.29458013741714,43.67887047866239,68.29669920344729,34.41615368217267
100080,374,390,0,Security,56.38468174935676,35.96139333082526,74.92204631960188,30.47423767083785
100080,390,392,0,Security,56.48015975591985,46.95554057289767,70.23023215877977,34.52974836458676
100080,392,398,0,Security,62.80980146505469,43.82125164608229,75.30882855165567,25.915204629782963
100080,398,401,0,Security,59.44531994096458,43.236162447790235,56.25991889079367,27.976532388277153
100080,401,405,0,Security,48.58104968069029,30.43292948747824,42.3319437172991,23.433157625688995
100080,405,406,0,Security,42.741226615874425,32.52729744093781,80.07294036001791,22.794412114230784
100080,406,407,0,Security,49.92969968807769,39.54028942264614,77.29266851540612,21.940878051729445
100080,407,417,0,Security,46.832268579080306,44.767610004586636,68.33554982878562,19.694123134211836
100080,417,418,0,Security,71.7139750192986,47.75874772226367,61.96033508658668,17.87590973000496
100080,418,424,0,Security,60.2408390000091,50.762613625428784,74.34321310515095,18.310140414485012
100080,424,425,0,Security,63.84988876595357,47.24401830587499,70.58794376821294,17.576002297346495
100080,425,427,0,Security,59.340019627609045,41.51589641674199,60.72704008396748,28.40733676909023
